date,rf,mkt_rf,smb,hml,mom
2015-07-01,0.00000317,0.01508073,-0.00142740,0.00106208,0.00089035
2015-07-02,0.00000161,-0.00659614,-0.00028934,0.00295652,0.00549403
2015-07-05,0.00000984,-0.00440929,-0.00420588,0.00616295,0.00880038
2015-07-06,0.00000328,0.00053314,-0.00782883,0.00735265,0.00763742
2015-07-07,0.00000328,0.00037551,0.00023955,0.00383149,-0.00098942
2015-07-08,0.00000328,-0.00947782,0.00070685,0.00222355,0.00991997
2015-07-09,0.00000328,0.00879958,-0.00414383,-0.00137650,0.00238483
2015-07-12,0.00000674,0.00336596,0.00019201,0.00457263,-0.00633372
2015-07-13,0.00000349,0.01081703,0.00305527,0.00423157,-0.00988266
2015-07-14,0.00000118,0.00070438,0.00608544,-0.00287465,-0.00206942
2015-07-15,0.00000238,0.00230675,0.00682754,-0.00171176,-0.00928746
2015-07-16,0.00000241,0.00728967,0.00232846,-0.00091985,-0.01668205
2015-07-19,0.00001098,0.00757171,-0.00056233,-0.00193608,-0.00143861
2015-07-20,0.00000380,0.00494229,0.00440885,0.00484297,-0.00944439
2015-07-21,0.00000128,-0.00315810,-0.00305922,-0.00433842,0.00451503
2015-07-22,0.00000260,-0.00665713,0.00296230,-0.00411749,0.00471347
2015-07-23,0.00000395,0.00142735,-0.00380464,0.00272261,0.00592130
2015-07-27,0.00001600,-0.00183956,0.00288164,-0.00242155,0.00348986
2015-07-28,0.00000282,0.00484109,-0.00022350,0.00550677,-0.00199561
2015-07-29,0.00000143,0.00228957,0.00060569,-0.00553607,-0.00294357
2015-07-30,0.00000290,-0.00049779,-0.00328179,0.00318095,0.00589184
2015-08-02,0.00001324,0.00075778,0.00186538,0.00700086,0.00040061
2015-08-03,0.00000462,0.00098520,-0.00222311,0.00100894,0.00594832
2015-08-04,0.00000156,-0.00440645,0.00075969,-0.00335149,0.01569071
2015-08-05,0.00000317,0.00562729,-0.00585841,0.00245873,0.01415575
2015-08-06,0.00000323,-0.00327872,0.00024316,-0.00243050,0.00075003
2015-08-09,0.00000583,-0.00213831,0.00008022,0.00334450,-0.00103810
2015-08-10,0.00000233,0.01034032,0.00459390,0.00767213,-0.00624075
2015-08-11,0.00000235,-0.00241752,0.01358307,0.00579211,-0.00126835
2015-08-12,0.00000357,-0.00492544,-0.00226678,0.00139449,-0.00964738
2015-08-13,0.00000362,0.00869449,0.01116538,-0.00268212,-0.01007419
2015-08-16,0.00000732,0.00760626,0.01181752,-0.00123923,0.00331625
2015-08-17,0.00000253,0.00092531,0.01410667,0.00062021,-0.00188303
2015-08-18,0.00000385,0.00287325,0.01098393,-0.00038019,-0.00230968
2015-08-19,0.00000260,-0.00592086,-0.00203655,-0.00190795,0.00581877
2015-08-20,0.00000263,-0.01224363,-0.00995104,0.00579171,0.00561843
2015-08-23,0.00000800,-0.04225860,-0.01585560,-0.00353042,0.00563195
2015-08-24,0.00000278,-0.04187273,-0.00914976,0.00276236,0.00916804
2015-08-25,0.00000282,0.03216690,0.01781640,-0.00812848,-0.00132610
2015-08-26,0.00000286,-0.00766245,0.01375349,-0.00389561,-0.00118919
2015-08-27,0.00000290,0.00555991,0.00286223,0.00807316,0.01442085
2015-08-30,0.00000441,0.00788380,0.01344630,-0.00013415,-0.01437587
2015-08-31,0.00000154,-0.01733836,-0.00011973,0.01661303,0.02114298
2015-09-01,0.00000156,-0.00959001,0.00347547,0.00639176,-0.00906387
2015-09-02,0.00000317,0.01578413,-0.00434102,-0.00839835,-0.00538823
2015-09-03,0.00000323,0.00488597,0.00806844,0.00064357,0.00336058
2015-09-06,0.00000414,-0.00019512,-0.00569756,0.00331402,-0.00115388
2015-09-07,0.00000116,-0.00355313,-0.00322584,0.00326779,-0.00141890
2015-09-08,0.00000235,0.00793193,0.00186025,0.00405452,0.00170481
2015-09-09,0.00000238,-0.00340340,0.01517698,0.00369958,0.00790212
2015-09-10,0.00000241,-0.00244783,-0.01578062,0.00362389,-0.00178332
2015-09-16,0.00001464,-0.00273918,0.00257459,0.00697204,0.00995303
2015-09-17,0.00000263,-0.00081351,0.00483601,-0.01120733,-0.00055833
2015-09-20,0.00000400,-0.01217566,0.00546753,-0.00366495,0.00208872
2015-09-21,0.00000278,0.00380035,0.00451565,-0.00453165,0.00147284
2015-09-24,0.00000435,-0.03321150,-0.00186281,0.00785317,0.00110057
2015-09-29,0.00001471,-0.01901483,-0.00909984,0.01055960,-0.00435496
2015-09-30,0.00000159,-0.00098336,0.00581836,0.00466641,0.00874005
2015-10-01,0.00000161,-0.00236812,-0.00482509,0.00037926,0.01652367
2015-10-06,0.00000820,0.01814623,0.00393604,0.00695647,-0.00104287
2015-10-07,0.00000164,0.01310337,-0.00514931,-0.00186882,-0.01298581
2015-10-08,0.00000164,-0.00874597,0.01527674,-0.00616164,-0.00086629
2015-10-11,0.00000674,-0.00188384,-0.00413486,-0.00688788,0.00414474
2015-10-12,0.00000233,-0.00062306,0.00603696,-0.00377449,-0.01206239
2015-10-13,0.00000235,-0.01264544,0.00719019,-0.00743945,-0.00467941
2015-10-14,0.00000238,0.00790495,-0.00993134,0.00774306,-0.00337698
2015-10-15,0.00000241,0.01097914,-0.00313753,-0.00914214,-0.00417165
