date,rf,mkt_rf,smb,hml,mom
2015-07-30,0.00008969,0.03800717,0.00133315,0.02352632,-0.00191162
2015-08-31,0.00008775,-0.06186743,0.07104533,0.03512283,0.05318904
2015-09-30,0.00006511,-0.05520442,0.01143932,0.02732083,0.01248045
2015-10-29,0.00006625,0.04617616,-0.00876641,-0.03885082,0.00167871
2015-11-30,0.00011621,-0.01210412,0.04290655,-0.03569700,0.05520923
2015-12-31,0.00009428,-0.02731574,-0.00218960,0.01939211,0.04235445
2016-01-31,0.00007882,-0.03009108,0.00754945,-0.00656002,0.04297735
2016-02-29,0.00005694,-0.02257374,0.00585679,0.01726616,0.04733690
2016-03-31,0.00008046,0.01664920,0.03298054,0.01976768,-0.02160585
2016-04-27,0.00007612,0.00596091,0.01311214,0.00895075,-0.01631559
2016-05-31,0.00009530,0.00580718,-0.00566583,-0.01856443,0.03029007
2016-06-30,0.00007939,-0.02602215,-0.00421997,0.01135236,0.02167761
2016-07-31,0.00008934,0.05636808,0.04157953,0.00834893,-0.01503265
2016-08-31,0.00010605,0.00155667,0.05080306,0.01238856,0.02594002
2016-09-29,0.00008662,-0.00700003,-0.00021216,0.01020531,-0.03311497
2016-10-31,0.00009300,-0.01896777,0.00566949,0.01328424,-0.00085956
2016-11-30,0.00010641,0.02168254,-0.03836797,-0.00762857,-0.01082168
2016-12-29,0.00010040,0.01735157,-0.00961681,0.00869938,-0.02830594
2017-01-31,0.00011331,-0.02044244,0.00531939,0.05905242,0.04790200
2017-02-28,0.00009479,0.02533510,0.00629753,0.00683490,0.03926777
2017-03-30,0.00009622,-0.00773804,0.00790735,0.03447745,0.02825900
2017-04-30,0.00008215,0.01129014,0.04020275,0.01369244,0.01889136
2017-05-29,0.00008855,0.01816929,0.01171832,-0.01519321,0.04677414
2017-06-29,0.00009118,-0.00343279,-0.03328271,0.00752603,-0.04877307
2017-07-31,0.00010843,0.00539437,-0.01989309,-0.00909773,0.01870446
2017-08-31,0.00010230,-0.04747415,-0.03101806,0.01274417,-0.00163980
2017-09-28,0.00007878,0.02094182,0.03320842,0.00795273,0.01066399
2017-10-31,0.00007857,0.00647203,-0.02282157,0.01397237,0.05419414
2017-11-30,0.00010226,0.01025139,0.00076530,-0.00211258,0.02373954
2017-12-31,0.00011158,0.03449081,0.00219536,-0.00663530,-0.01939078
2018-01-31,0.00010169,0.03291077,-0.00122860,0.01390261,0.03150197
2018-02-28,0.00008363,-0.03165027,-0.00446543,-0.00758222,0.00024336
2018-03-29,0.00009794,-0.03858349,0.00568258,-0.00164700,0.03851113
2018-04-30,0.00011819,0.01054380,-0.01124644,-0.00555821,0.02013556
2018-05-31,0.00010970,0.02764902,-0.02013896,-0.00672369,0.01295299
2018-06-28,0.00008534,0.00131486,0.02404064,0.00845974,-0.00021763
2018-07-31,0.00009611,0.02767750,-0.04812753,0.01160796,0.01707578
2018-08-30,0.00009879,0.05514587,-0.00241357,-0.01463473,0.01117804
2018-09-27,0.00009770,-0.00508308,-0.01125178,-0.01329190,0.00746024
2018-10-31,0.00012045,-0.03070657,-0.01082031,-0.00148408,0.02707817
2018-11-29,0.00011869,0.02159191,-0.02469427,0.01872697,0.00753537
2018-12-31,0.00024098,-0.09819230,-0.00833576,-0.03214994,0.04887580
2019-01-31,0.00021211,0.06835952,0.02008253,0.01430839,0.00017120
2019-02-28,0.00019475,0.00338769,-0.00355161,-0.00708018,0.03362372
2019-03-31,0.00021639,-0.00536668,0.02498421,0.02782517,0.03737467
2019-04-30,0.00021645,0.03244925,-0.01060987,0.01040771,0.00693954
2019-05-30,0.00026403,-0.03357072,-0.02655732,0.03545326,0.06514589
2019-06-30,0.00023555,0.03743102,0.01030867,-0.00021425,0.00200018
2019-07-31,0.00023103,0.01266087,0.00379286,0.01305622,0.06338044
2019-08-29,0.00019420,-0.02774286,0.00942041,0.02486371,0.11462605
2019-09-26,0.00013796,0.03471386,0.00802184,0.01942070,-0.02752129
2019-10-31,0.00019121,0.02885042,0.00235947,-0.00245545,0.05198596
2019-11-28,0.00011665,0.03435195,-0.00214317,-0.02556772,0.00877321
2019-12-31,0.00016401,-0.00754234,0.02869123,0.00126609,0.01588855
2020-01-30,0.00014647,0.01295770,0.03001700,-0.00903542,0.09052065
2020-02-27,0.00013796,-0.05332591,0.00442641,0.04352758,0.03335786
2020-03-31,0.00017126,-0.17347957,0.01265271,-0.12870840,-0.03947360
2020-04-30,0.00010953,0.11171603,0.05940070,-0.09014279,-0.06486821
2020-05-31,0.00004597,-0.01571009,0.01936934,-0.11990626,0.09704997
2020-06-30,0.00003560,-0.05023650,0.01175958,-0.05907624,0.03747954
2020-07-29,0.00004242,0.04828656,0.00060995,-0.06834193,0.02056742
2020-08-31,0.00003718,0.02486519,0.06387192,0.03631129,-0.06050619
2020-09-30,0.00004129,-0.04351372,0.05847424,0.00564766,0.08028294
2020-10-29,0.00002914,0.01346388,-0.00172204,0.01370179,-0.07615468
2020-11-30,0.00003159,0.10019395,-0.02610124,0.10201788,-0.17610430
2020-12-31,0.00003909,0.04074544,0.04012230,0.09436569,-0.02336399
2021-01-31,-0.00002846,0.03513210,0.04254300,-0.00126497,0.01746835
2021-02-28,-0.00001939,-0.01060031,0.02527100,-0.03173862,-0.00303645
2021-03-31,-0.00004884,0.03716502,0.00948687,0.03690916,-0.04375711
2021-04-29,-0.00000767,0.03663920,0.01546865,0.02816507,-0.02794086
2021-05-31,0.00003287,0.03250575,-0.00435336,0.01494862,-0.00567831
2021-06-30,0.00002505,-0.00605189,0.02251848,-0.01524923,0.01528681
2021-07-29,-0.00000049,-0.00041045,-0.02936710,0.01804893,0.01176922
2021-08-31,-0.00001222,0.03905454,-0.02298546,0.00454338,0.03955810
2021-09-30,0.00001342,0.02200800,-0.02003135,0.04285371,0.01201985
2021-10-31,0.00002100,0.04034997,0.01227193,0.03718736,-0.00419337
2021-11-30,0.00000040,0.01536209,-0.02962739,0.03073117,0.04808456
2021-12-30,-0.00002353,0.05361014,0.00862723,0.07349118,0.04424282
2022-01-31,0.00002003,-0.00901841,-0.02265230,0.11854250,0.02275301
2022-02-28,-0.00000670,0.00741835,-0.02977033,0.03006142,0.03473026
2022-03-31,0.00006453,0.01853835,0.00760734,0.05721028,0.02133572
2022-04-28,0.00007237,0.00598646,-0.00527187,0.07789210,0.05889444
2022-05-31,0.00000352,-0.07632060,-0.02232140,-0.01784641,-0.03863060
2022-06-30,0.00026642,-0.03796176,0.01932128,-0.03913450,0.00229798
2022-07-31,0.00068767,0.06690218,-0.02550072,0.01809889,-0.01560850
2022-08-31,0.00115124,0.02960365,-0.02885315,0.05117854,0.03436971
2022-09-29,0.00138170,-0.09474828,-0.00003778,-0.04693226,0.00380687
2022-10-31,0.00150114,0.03236928,-0.03465638,0.06245305,0.00385202
2022-11-30,0.00215941,-0.04591714,-0.00973397,0.01625310,0.00538233
2022-12-29,0.00251556,-0.03956353,-0.01112746,0.00212379,0.02588118
2023-01-31,0.00320108,-0.00033480,0.00316543,-0.00464271,-0.05201845
2023-02-28,0.00293521,-0.05670997,-0.01859332,-0.03136317,0.00696372
2023-03-30,0.00340052,-0.00443460,-0.02238210,0.01052987,0.04623566
2023-04-30,0.00357379,0.01433458,-0.01509872,0.03012383,-0.00624402
2023-05-31,0.00362790,-0.00655760,0.01490469,-0.02338047,0.05051347
2023-06-29,0.00353334,0.01962062,0.00893357,-0.01802326,-0.03567096
2023-07-31,0.00396087,0.05791131,-0.02540173,0.01751181,-0.00516139
